"Date","Dist","Ln"
"2013-02-13",0,-Inf
"2013-02-14",9.76900696317332,2.27921481945316
"2013-02-15",14.495373318428,2.67382951702147
"2013-02-16",53.3703225455877,3.9772548339024
"2013-02-17",46.0148135633924,3.82896337863407
"2013-02-18",14.4279107784232,2.66916457910362
"2013-02-19",12.7736444964242,2.54738402450508
"2013-02-20",7.34905182000946,1.99457130082266
"2013-02-21",14.3941147311293,2.66681942381453
"2013-02-22",7.08290534147251,1.95768418249646
"2013-02-23",6.74903914220168,1.90940014544836
"2013-02-25",9.93041439788253,2.29560220909796
"2013-02-26",11.3365616670096,2.42803304835658
"2013-02-27",12.4388837565765,2.5208273531063
"2013-02-28",9.68130043327236,2.27019623454557
"2013-03-01",10.3755958038358,2.33945649134364
"2013-03-04",10.3919748934806,2.34103386341856
"2013-03-05",10.338612732931,2.33588569498563
"2013-03-07",12.7527010242044,2.54574309420408
"2013-03-08",14.7928170965199,2.69414173164249
"2013-03-09",4.86184732456109,1.58141847362406
"2013-03-11",10.9679153585741,2.39497422510534
"2013-03-12",13.4390348394875,2.59816351997823
"2013-03-13",10.7416033176628,2.37412436263745
"2013-03-14",9.71989011233623,2.27417431309324
"2013-03-15",13.660283166831,2.61449258356403
"2013-03-16",10.7484171291871,2.37475849993569
"2013-03-17",9.68316458635321,2.27038876793957
"2013-03-18",12.6176819576646,2.53509916018355
"2013-03-19",9.87949466847468,2.29046136353621
"2013-03-20",14.4987603928395,2.67406315562303
"2013-03-21",56.4137667642828,4.03271322028381
"2013-03-22",390.495754152406,5.96741709637148
"2013-03-23",116.646794137376,4.75915051534118
"2013-03-24",445.89954423868,6.10009368951737
"2013-03-25",11.3893959013333,2.43268273841719
"2013-03-26",10.4844291732597,2.34989122064578
"2013-03-27",12.4964336432757,2.52544329506209
"2013-03-28",10.6119200408087,2.36197790145712
"2013-03-29",57.4253585021243,4.05048599151822
"2013-03-30",28.0360696664383,3.33349188352721
"2013-03-31",112.28590436106,4.72104833615544
"2013-04-01",56.8047704381719,4.03962030878796
"2013-04-02",10.1029341874247,2.31282589526271
"2013-04-03",9.7741501583018,2.27974116176472
"2013-04-04",10.2116405680571,2.32352830174229
"2013-04-05",9.60416846937819,2.26219721978972
"2013-04-06",12.9262928343545,2.55926344126106
"2013-04-07",19.001263071708,2.94450545441523
"2013-04-08",9.49181824299864,2.25043018994925
"2013-04-09",10.0089056082383,2.30347525750386
"2013-04-10",9.73390470825087,2.27561512178567
"2013-04-11",234.151581232632,5.45596868868226
"2013-04-12",14.3953113267325,2.66690255125177
"2013-04-13",12.8341825151381,2.55211212044725
"2013-04-14",232.875430782329,5.45050367876364
"2013-04-15",10.1125721658572,2.31377941866146
"2013-04-16",10.4656078865653,2.34809444179483
"2013-04-17",15.9766539318909,2.77112852741721
"2013-04-18",9.95722626157637,2.29829854501804
"2013-04-19",13.2386991307716,2.58314429271885
"2013-04-20",11.3345010435626,2.42785126389602
"2013-04-21",4.41686089088138,1.48542923809113
"2013-04-22",13.6494815601887,2.61370153997112
"2013-04-23",9.66221322752893,2.26822273456278
"2013-04-24",9.54998350741155,2.25653942751853
"2013-04-25",17.1526191676876,2.84215088309923
"2013-04-26",10.4598902979891,2.34754797081783
"2013-04-27",7.73107325276246,2.04524769549232
"2013-04-28",21.0720328698061,3.04794670488041
"2013-04-29",11.6574867529821,2.45594861334817
"2013-04-30",16.9415802990435,2.82977097289195
"2013-05-01",9.74072884726451,2.27631594516943
"2013-05-02",12.5064603586895,2.52624533949347
"2013-05-03",14.2267824745899,2.6551262779331
"2013-05-04",9.49723463244223,2.25100066490932
"2013-05-05",11.641505475924,2.45457677035964
"2013-05-06",11.6031527572397,2.45127685060148
"2013-05-07",10.1770676591634,2.32013692043014
"2013-05-08",9.95002952552025,2.29757551855507
"2013-05-09",55.87589588144,4.0231330864775
"2013-05-10",47.5481012249927,3.86174185601728
"2013-05-11",74.0033302765391,4.30411009592855
"2013-05-12",17.4395697145344,2.85874174584472
"2013-05-13",56.8036566981716,4.03960070214384
"2013-05-14",12.0168173911871,2.48630711794012
"2013-05-15",11.2823504952652,2.42323960160221
"2013-05-16",11.9946441114272,2.48446022610804
"2013-05-17",36.4885755866266,3.5969992139678
"2013-05-18",10.6681560835327,2.36726323721505
"2013-05-19",81.4940059824707,4.40052947131481
"2013-05-20",52.5985508992807,3.96268856992084
"2013-05-21",9.87507514964897,2.29001392084926
"2013-05-22",10.4518377373967,2.34677782298722
"2013-05-23",11.47093921675,2.43981681242275
"2013-05-24",60.0071607661684,4.09446390120373
"2013-05-25",75.5121677436229,4.32429380543694
"2013-05-26",73.0707967619769,4.29142878983533
"2013-05-27",70.624366777458,4.25737522344351
"2013-05-28",9.9111588711709,2.29366128107825
"2013-05-29",27.1096115842463,3.29988833601016
"2013-05-30",10.4008091141364,2.3418836025573
"2013-05-31",13.5115590724693,2.60354554668096
"2013-06-01",12.9789301635162,2.56332728596199
"2013-06-02",6.55773108053091,1.88064467125824
"2013-06-03",14.7980985150852,2.69449869380551
"2013-06-04",9.74518390483231,2.27677320449334
"2013-06-05",9.98601092397857,2.30118520600718
"2013-06-06",23.9930311768626,3.17776342055238
"2013-06-07",10.0043957965699,2.3030245760642
"2013-06-08",6.66561576057253,1.89696233654591
"2013-06-10",12.4034572789077,2.51797524656506
"2013-06-11",9.80641264951949,2.28303652367339
"2013-06-12",11.7881535585337,2.46709509147313
"2013-06-13",11.6578408439513,2.45597898744158
"2013-06-14",50.1229518379428,3.91447902370347
"2013-06-15",27.4122110916536,3.31098857439631
