"day","dist","ln.dist"
"2013-00-02/14/13",5.5269997873729,1.70964513438051
"2013-00-02/15/13",13.9010826410749,2.63196672495066
"2013-00-02/16/13",52.7620139477865,3.96579149898917
"2013-00-02/17/13",9.26706830149078,2.22646707297674
"2013-00-02/18/13",47.9419965321786,3.86999187461753
"2013-00-02/19/13",14.0917820313783,2.64559179281596
"2013-00-02/20/13",12.3405990592708,2.51289456343107
"2013-00-02/21/13",13.2928184172791,2.58722392076652
"2013-00-02/22/13",8.12488012949603,2.09493097481417
"2013-00-02/23/13",9.17694405537721,2.21669425764059
"2013-00-02/25/13",4.85633402668453,1.58028383777631
"2013-00-02/26/13",15.5699857879113,2.74534507305881
"2013-00-02/27/13",5.43262779849057,1.69242295767443
"2013-00-02/28/13",12.570054307635,2.53131734300929
"2013-00-03/01/13",14.9033221919765,2.70158415400267
"2013-00-03/02/13",0.43043471385095,-0.842959618528835
"2013-00-03/04/13",5.51928482177445,1.70824829062247
"2013-00-03/05/13",12.9410402590642,2.56040367680481
"2013-00-03/06/13",2.27026326516685,0.819895800613062
"2013-00-03/07/13",4.99980708241784,1.6093993281733
"2013-00-03/08/13",17.7050786933721,2.87385153025165
"2013-00-03/09/13",9.70247873146078,2.27238139219058
"2013-00-03/11/13",7.48843580098656,2.01335993739982
"2013-00-03/12/13",15.0061920125692,2.70846291676133
"2013-00-03/13/13",12.6539245269605,2.53796740634469
"2013-00-03/14/13",9.40902634940302,2.24166947846741
"2013-00-03/15/13",11.1639802091323,2.41269254293266
"2013-00-03/16/13",10.1233468022641,2.31484432087244
"2013-00-03/17/13",13.1153984199576,2.57378699180956
"2013-00-03/18/13",12.6176811131315,2.53509909325103
"2013-00-03/19/13",6.11279814702037,1.8103846302201
"2013-00-03/20/13",18.2654556298633,2.90501160545285
"2013-00-03/21/13",53.6482161760653,3.98244821924277
"2013-00-03/22/13",325.948797220121,5.78674030528895
"2013-00-03/23/13",145.370063655364,4.97928265432329
"2013-00-03/24/13",473.83483523463,6.16085881210057
"2013-00-03/25/13",22.0433415578404,3.09301058612471
"2013-00-03/26/13",10.4844285866644,2.3498911646966
"2013-00-03/27/13",12.321471099708,2.5113433584207
"2013-00-03/28/13",10.4638733893886,2.34792869500371
"2013-00-03/29/13",13.0603802132687,2.56958323623222
"2013-00-03/30/13",70.941608049031,4.2618571168223
"2013-00-03/31/13",86.3658151468962,4.45859193949469
"2013-00-04/01/13",84.1154246722305,4.43218995886825
"2013-00-04/02/13",5.3819014667009,1.68304174420344
"2013-00-04/03/13",14.8712058192976,2.69942684792397
"2013-00-04/04/13",7.63050245459768,2.03215369563116
"2013-00-04/05/13",12.2011653731161,2.5015314695638
"2013-00-04/06/13",8.7458881969134,2.1685836695696
"2013-00-04/07/13",23.1816671350592,3.14336175659628
"2013-00-04/08/13",9.491818583326,2.25043022580406
"2013-00-04/09/13",10.0058911843847,2.30317403797037
"2013-00-04/10/13",4.8073657176702,1.57014926624882
"2013-00-04/11/13",237.213096884914,5.46895888012255
"2013-00-04/12/13",13.3391569519872,2.59070384148801
"2013-00-04/13/13",14.4676126520412,2.67191254099446
"2013-00-04/14/13",227.826041993896,5.42858236403088
"2013-00-04/15/13",13.0065021535761,2.56544939808009
"2013-00-04/16/13",13.9118275787989,2.63273938327182
"2013-00-04/17/13",13.0195172287042,2.56644955688438
"2013-00-04/18/13",12.9143625829242,2.55834007054269
"2013-00-04/19/13",11.2201942171517,2.41771520985131
"2013-00-04/20/13",11.0849461897938,2.40558798873027
"2013-00-04/21/13",6.68492048377394,1.89985431575974
"2013-00-04/22/13",13.6494816812336,2.61370154883921
"2013-00-04/23/13",5.88313608342867,1.77208996725318
"2013-00-04/24/13",9.89833788830562,2.29236685297529
"2013-00-04/25/13",17.4839683767081,2.86128436830051
"2013-00-04/26/13",13.5592631426611,2.60706994052403
"2013-00-04/27/13",7.73107216327631,2.04524755456929
"2013-00-04/28/13",17.3419463169843,2.85312820940089
"2013-00-04/29/13",15.387574446998,2.73356032964658
"2013-00-04/30/13",13.6700182991424,2.61520498937011
"2013-00-05/01/13",12.044478812627,2.48860636511215
"2013-00-05/02/13",13.4742723123497,2.60078211254277
"2013-00-05/03/13",12.5455705396683,2.52936765823168
"2013-00-05/04/13",5.28769821440033,1.6653830310268
"2013-00-05/05/13",17.5322543845279,2.86404229217796
"2013-00-05/06/13",11.6031534179458,2.45127690754343
"2013-00-05/07/13",6.41227086275014,1.85821347695399
"2013-00-05/08/13",13.5402267062075,2.60566501078617
"2013-00-05/09/13",48.4883705643641,3.88132398701303
"2013-00-05/10/13",42.8641109129307,3.75803490035328
"2013-00-05/11/13",56.1236702036872,4.02755765230622
"2013-00-05/12/13",47.5653433708515,3.86210441561379
"2013-00-05/13/13",53.080043767488,3.97180103402071
"2013-00-05/14/13",15.7404318624881,2.75623267987386
"2013-00-05/15/13",11.2823515596043,2.42323969593885
"2013-00-05/16/13",11.2574241230951,2.42102783305052
"2013-00-05/17/13",33.9235824103914,3.52411041886088
"2013-00-05/18/13",12.7491416025884,2.5454639440508
"2013-00-05/19/13",67.4709886130921,4.21169770716415
"2013-00-05/20/13",67.8427973671509,4.21719322540874
"2013-00-05/21/13",5.00912710364251,1.61126166910694
"2013-00-05/22/13",15.3177848560033,2.72901456221337
"2013-00-05/23/13",11.4709393733135,2.43981682607146
"2013-00-05/24/13",54.5713093234685,3.99950827437683
"2013-00-05/25/13",35.1017531007378,3.55825107511453
"2013-00-05/26/13",94.9597246809583,4.55345285098127
