day,dist,ln.dist
2013-7-25,0.097309017,-2.329863625
2013-7-26,17.00518633,2.833518376
2013-7-27,5.907740939,1.776263515
2013-7-28,9.724374326,2.274635551
2013-7-29,12.32868138,2.511928367
2013-7-30,13.36585317,2.592703184
2013-7-31,63.41154682,4.149645971
2013-8-1,1373.651149,7.225227546
2013-8-2,40.13800411,3.692323619
2013-8-3,98.08815506,4.585866616
2013-8-4,106.0230453,4.663656479
2013-8-5,823.0694735,6.713040612
2013-8-6,598.817769,6.394957326
2013-8-7,57.28047916,4.047959888
2013-8-8,4.407637323,1.483338792
2013-8-9,7.212907397,1.975872115
2013-8-11,101.4482483,4.6195488
2013-8-13,111.7282475,4.716069562
2013-8-14,25.16431797,3.225427038
2013-8-15,25.57459123,3.241599329
2013-8-16,47.148461,3.853301368
2013-8-17,5.494641556,1.703773355
2013-8-28,182.0148786,5.204088434
2013-8-29,128.7558787,4.857918199
2013-8-30,55.54482925,4.017190429
2013-8-31,190.3233231,5.248724326
2013-9-1,148.439156,5.00017515
2013-9-2,77.54468391,4.350854337
2013-9-3,188.3589611,5.23834951
2013-9-4,10.79246915,2.37884859
2013-9-5,11.04992484,2.402423626
2013-9-6,5.870865509,1.770002069
2013-9-7,59.45798625,4.08526995
2013-9-8,55.46388717,4.015732127
2013-9-17,21.94078378,3.088347178
2013-9-18,8.252006584,2.110456393
2013-9-19,232.2405556,5.447773712
2013-9-20,61.14763238,4.113291143
2013-9-21,45.28640189,3.813006808
2013-9-22,204.7196647,5.321641554
2013-9-23,16.5199768,2.804570364
2013-9-24,14.35724471,2.664254673
2013-9-30,6.319695429,1.843671015
2013-10-1,10.65559901,2.366085482
2013-10-2,7.676548812,2.038170073
2013-10-3,10.73525349,2.373533044
2013-10-4,178.0201551,5.181896775
2013-10-9,166.4739455,5.114838814
2013-10-10,17.27134627,2.849048843
2013-10-11,18.9122246,2.939808517
2013-10-12,8.25692448,2.111052179
2013-10-13,134.7943678,4.903750416
2013-10-14,8.172023634,2.100716569
2013-10-15,17.79006184,2.878639978
2013-10-16,1.573069086,0.453028543
2013-10-17,19.75487455,2.983400274
2013-10-18,41.93273094,3.73606669
2013-10-19,224.9231308,5.415758703
2013-10-20,213.5953931,5.364083539
2013-10-21,9.376059685,2.238159599
2013-10-22,10.053381,2.307908996
2013-10-26,0.006522715,-5.032464547
2013-10-27,8.499322796,2.139986489
2013-10-28,9.209429465,2.220227901
2013-10-29,18.07392799,2.894470458
2013-10-30,17.82535702,2.880621995
2013-10-31,12.75147861,2.545647234
2013-11-1,6.463482461,1.866168253
2013-11-2,19.37480442,2.963973481
2013-11-3,14.80277428,2.694814615
2013-11-4,11.4662134,2.439404746
2013-11-5,12.19803881,2.501275186
2013-11-6,9.427157891,2.243594661
2013-11-7,70.86838228,4.260824386
2013-11-12,60.65384322,4.105183001
2013-11-13,16.8748174,2.825822416
2013-11-14,8.307007171,2.117099396
2013-11-15,14.0725854,2.644228607
2013-11-16,15.67668289,2.752174442
2013-11-17,7.74554539,2.04711789
2013-11-18,26.22720288,3.26679715
2013-11-19,19.2249891,2.956210948
2013-11-20,17.44868487,2.85926428
