index,date,lat,lon,alt,device,os,version
58,2/18/13 23:49,38.89788818,-77.06867981,57.28184891,"iPhone5,1",6.0.1,1.1
59,2/19/13 0:04,38.90503311,-77.06135559,33.01194,"iPhone5,1",6.0.1,1.1
60,2/19/13 0:10,38.90111542,-77.05010986,40.62827301,"iPhone5,1",6.0.1,1.1
61,2/19/13 0:19,38.88809586,-77.04546356,44.83568954,"iPhone5,1",6.0.1,1.1
62,2/19/13 0:25,38.89586639,-77.03816223,39.76821136,"iPhone5,1",6.0.1,1.1
63,2/19/13 0:32,38.88918304,-77.02339172,34.72137451,"iPhone5,1",6.0.1,1.1
64,2/19/13 0:46,38.90018845,-77.0382309,49.8188591,"iPhone5,1",6.0.1,1.1
65,2/19/13 1:01,38.88912582,-77.02321625,50.55104828,"iPhone5,1",6.0.1,1.1
66,2/19/13 1:14,38.88728714,-77.00174713,36.89097977,"iPhone5,1",6.0.1,1.1
67,2/19/13 1:29,38.89163971,-76.98204041,34.24641418,"iPhone5,1",6.0.1,1.1
68,2/19/13 1:59,38.89654922,-76.98540497,31.42721367,"iPhone5,1",6.0.1,1.1
69,2/19/13 13:39,38.88910675,-76.9907608,34.96649933,"iPhone5,1",6.0.1,1.1
70,2/19/13 13:47,38.89228439,-77.0083847,32,"iPhone5,1",6.0.1,1.1
71,2/19/13 13:52,38.89069748,-77.01587677,32,"iPhone5,1",6.0.1,1.1
72,2/19/13 14:00,38.88757706,-77.0437851,32,"iPhone5,1",6.0.1,1.1
73,2/19/13 14:06,38.88916779,-77.06426239,32,"iPhone5,1",6.0.1,1.1
74,2/19/13 14:15,38.89872742,-77.07001495,55.70829773,"iPhone5,1",6.0.1,1.1
75,2/19/13 14:36,38.89773941,-77.07072449,54.24699783,"iPhone5,1",6.0.1,1.1
76,2/20/13 0:02,38.90537262,-77.06718445,83,"iPhone5,1",6.0.1,1.1
77,2/20/13 0:08,38.90375137,-77.05388641,83,"iPhone5,1",6.0.1,1.1
78,2/20/13 0:17,38.88836288,-77.04555511,83,"iPhone5,1",6.0.1,1.1
79,2/20/13 0:32,38.88903809,-77.02925873,18.93014526,"iPhone5,1",6.0.1,1.1
80,2/20/13 0:46,38.90021515,-77.03361511,50.26672745,"iPhone5,1",6.0.1,1.1
81,2/20/13 0:59,38.88936996,-77.02698517,43.94147491,"iPhone5,1",6.0.1,1.1
82,2/20/13 1:14,38.88893509,-77.00979614,31.25627899,"iPhone5,1",6.0.1,1.1
83,2/20/13 1:29,38.89048004,-76.99564362,32,"iPhone5,1",6.0.1,1.1
84,2/20/13 1:40,38.89630508,-76.98477173,28.25053597,"iPhone5,1",6.0.1,1.1
85,2/20/13 13:41,38.89070892,-76.98957062,36.60287476,"iPhone5,1",6.0.1,1.1
86,2/20/13 13:47,38.8877449,-76.99525452,35.0345459,"iPhone5,1",6.0.1,1.1
87,2/20/13 14:04,38.89204025,-77.01773834,35.00829315,"iPhone5,1",6.0.1,1.1
88,2/20/13 14:24,38.89325333,-77.04561615,35.00829315,"iPhone5,1",6.0.1,1.1
89,2/20/13 14:30,38.89772797,-77.0707016,54.49872971,"iPhone5,1",6.0.1,1.1
90,2/20/13 19:41,38.89752197,-77.07067108,61.48544693,"iPhone5,1",6.0.1,1.1
91,2/21/13 0:57,38.90517426,-77.05825806,43.68247223,"iPhone5,1",6.0.1,1.1
92,2/21/13 1:12,38.89847946,-77.04840851,70.24298096,"iPhone5,1",6.0.1,1.1
93,2/21/13 1:25,38.89205551,-77.03575134,57.1620903,"iPhone5,1",6.0.1,1.1
94,2/21/13 5:39,38.89652252,-76.98563385,30.48472595,"iPhone5,1",6.0.1,1.1
95,2/21/13 12:30,38.8915062,-77.00085449,31.27820587,"iPhone5,1",6.0.1,1.1
96,2/21/13 12:45,38.89208984,-77.02599335,32,"iPhone5,1",6.0.1,1.1
97,2/21/13 12:56,38.89735794,-77.05047607,17.86942673,"iPhone5,1",6.0.1,1.1
98,2/21/13 13:09,38.90517807,-77.05810547,57.75598907,"iPhone5,1",6.0.1,1.1
99,2/21/13 13:20,38.89736176,-77.07118988,15.99191093,"iPhone5,1",6.0.1,1.1
100,2/21/13 19:37,38.90371323,-77.0667038,71.55508423,"iPhone5,1",6.0.1,1.1
101,2/21/13 19:50,38.8976593,-77.07069397,55.89562607,"iPhone5,1",6.0.1,1.1
102,2/21/13 23:08,38.90969467,-77.06452942,83,"iPhone5,1",6.0.1,1.1
103,2/21/13 23:21,38.90567017,-77.04345703,34.0486412,"iPhone5,1",6.0.1,1.1
104,2/22/13 1:44,38.89893723,-77.03968811,45.829216,"iPhone5,1",6.0.1,1.1
105,2/22/13 1:59,38.89488983,-76.99554443,33.34674835,"iPhone5,1",6.0.1,1.1
106,2/22/13 2:14,38.8961792,-76.98506927,30.3844223,"iPhone5,1",6.0.1,1.1
107,2/22/13 12:45,38.89168167,-77.0043335,33.81497574,"iPhone5,1",6.0.1,1.1
108,2/22/13 13:13,38.89718246,-77.07035828,8.451229095,"iPhone5,1",6.0.1,1.1
109,2/23/13 1:36,38.90517807,-77.06655884,57.93718719,"iPhone5,1",6.0.1,1.1
